NF dB10 X,NF dB10 Y
346200000,2.507911178513181
346400000,2.501259860121148
346600000,2.494609845997121
346800000,2.487961164131288
347000000,2.481313842683201
347200000,2.474667909982418
347400000,2.468023394528319
347600000,2.461380324990779
347800000,2.454738730211884
348000000,2.448098639204605
348200000,2.441460081154851
348400000,2.434823085421542
348600000,2.428187681536898
348800000,2.421553899207071
349000000,2.414921768312823
349200000,2.408291318910786
349400000,2.401662581232307
349600000,2.395035585685318
349800000,2.388410362854759
350000000,2.381786943502478
350200000,2.375165358568283
350400000,2.368545639170682
350600000,2.361927816606356
350800000,2.355311922352362
351000000,2.348697988065181
351200000,2.342086045581715
351400000,2.335476126920752
351600000,2.328868264281132
351800000,2.322262490045108
352000000,2.315658836777641
352200000,2.309057337225786
352400000,2.302458024320741
352600000,2.295860931178597
352800000,2.28926609109942
