Kf  X,Kf  Y
346400000,16.58967807796878
346600000,16.56473851409612
346800000,16.5398948464001
347000000,16.51514696125736
347200000,16.4904947457063
347400000,16.46593808728756
347600000,16.44147687402958
347800000,16.41711099467533
348000000,16.39284033833798
348200000,16.36866479483918
348400000,16.34458425448366
348600000,16.32059860811221
348800000,16.29670774716526
349000000,16.2729115635896
349200000,16.24920994997801
349400000,16.22560279937401
349600000,16.20209000542379
349800000,16.17867146234163
350000000,16.15534706485012
350200000,16.13211670824438
350400000,16.1089802884176
350600000,16.08593770172332
350800000,16.06298884518674
351000000,16.04013361630034
351200000,16.01737191310548
351400000,15.99470363430852
351600000,15.97212867898795
351800000,15.94964694691858
352000000,15.92725833844144
352200000,15.90496275432947
352400000,15.88276009597355
352600000,15.86065026536965
352800000,15.83863316500803
